FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000187	+5	-1	-3	+0	-1	+1	+3	+0	+0	+0	+1	-1	+0	+0	+1	+0	-1	+0	+0	-1	+0
OG0000188	-1	+0	+1	-1	+2	+0	-3	+0	+0	+1	+1	+0	-2	+2	+0	+0	-4	+4	+0	+0	+0
OG0000189	+0	+1	+0	+0	+0	+0	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+1	+0
OG0000190	-3	+2	-1	+1	+0	+0	+0	+0	+0	-1	+0	-3	+1	+0	-1	+1	-4	+5	+0	+0	+0
OG0000191	+0	+1	-5	+6	+0	+0	+0	+0	+0	-1	+0	-1	+0	-3	+0	+0	+13	-5	+0	+0	+0
OG0000194	-2	+0	-4	+4	+7	+0	+0	+0	+2	-1	-3	+2	+0	+1	+0	+1	+0	-1	+1	-2	+0
OG0000195	-1	+0	-4	+0	+2	+0	+6	+0	+1	-1	+0	+0	+0	+2	-1	+2	-1	+0	+0	-2	+0
OG0000196	+2	-5	-1	+3	+2	+0	+0	+0	+1	-1	+0	+0	+0	+0	-1	+1	-4	+1	+0	+0	+0
OG0000197	+0	+0	-6	+4	+0	-1	+8	+0	+0	-1	+0	+0	+3	-2	-1	+0	+14	-4	-1	+0	+0
OG0000198	+2	+0	-2	+3	-1	+0	+1	+0	+0	-1	+0	+0	+0	-1	+0	+0	+24	-5	-1	+1	+0
OG0000200	+1	+0	-1	+0	+0	+0	+4	-1	+0	+0	+0	+0	+1	+0	-1	+1	+0	-1	+0	-1	+0
OG0000201	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	-1	+0	+0	+5	-3	+0	+1	+0
OG0000202	+0	+1	+0	+1	+0	+0	+2	+0	+0	-2	+1	+0	+1	-2	+0	+0	-3	+2	+0	+0	+0
OG0000203	+0	+0	-1	+8	+0	+0	-1	+7	+0	+0	+0	+0	+1	-2	-1	+0	+0	+1	+0	+0	+0
OG0000204	+0	+2	-3	+12	+1	+0	-1	+0	+1	-4	+0	-2	+1	+0	+0	+0	-2	+3	+0	+0	+0
OG0000206	+0	+1	-5	+2	+0	+0	+12	+0	+0	+0	+0	+0	+4	+0	-2	+3	-2	+0	+0	+0	+0
OG0000207	-2	+0	-1	+0	+0	+0	+2	+0	+0	-3	+0	+0	+0	-1	+1	+0	-4	+1	+0	-1	+0
OG0000208	+0	+0	+1	-1	+1	+0	+0	+1	+0	+0	+1	+0	+1	-1	+0	+0	-2	+0	+1	-2	+0
OG0000209	+0	+1	+0	-3	+0	+0	+3	+0	+0	-1	-2	+0	+0	+1	-1	+0	-2	+0	+0	+0	+0
OG0000211	+0	+1	+1	-1	+0	+1	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	-2	+1	+0	+0	+0
OG0000212	+1	-2	+0	+0	+0	+0	+0	-1	+1	+2	+0	+0	-1	+10	-1	+1	-1	+0	+0	+0	+0
OG0000214	+2	+0	-1	+1	+0	+0	-1	+0	+0	+1	+1	+0	+0	+3	+0	+1	+0	+0	+0	-1	+0
OG0000215	-2	+0	+0	+0	+2	+0	+1	+0	+0	-1	+0	+0	+0	+0	+2	-1	-2	+1	+0	+0	+0
OG0000216	+0	+0	-4	+4	-2	+0	+0	+0	+0	+2	+0	+0	+0	+1	-2	+3	+1	-3	+0	+0	+0
OG0000218	+0	+0	+0	+0	+0	+0	-3	+0	+0	+0	+0	+0	+0	+0	+1	+0	+1	+0	+0	+0	+0
OG0000219	+0	+0	+1	+0	+1	+0	+2	+0	+0	+0	-1	+0	+2	-2	-1	+0	-4	+5	+0	+0	+0
OG0000220	+0	+1	+0	-1	+1	+0	+2	-1	+0	+0	+0	+0	+0	+1	+0	+1	+0	+0	+0	-1	+0
OG0000221	-3	+4	-2	+0	+2	+0	+0	+0	+1	+0	+0	+0	+0	+3	-1	+2	-2	+0	+0	+0	+0
OG0000222	-1	+1	+0	+1	+3	+0	+1	+0	+1	-1	+0	+0	+1	+0	-1	+1	-1	+0	+1	-2	+0
OG0000227	-1	+0	-1	+0	+2	+0	+25	-1	+0	-1	+0	+0	+1	-1	+0	+1	+0	-2	+0	+0	+0
OG0000228	+0	+0	-1	+0	-1	+1	+0	-2	+1	+0	-1	+1	+0	+2	+1	+0	-3	+0	+0	-2	+0
OG0000229	+0	+2	-1	+1	-1	+1	+1	+0	+0	+0	+0	-1	+0	+0	+0	+1	+0	+0	+1	-3	+0
OG0000232	+0	+2	-3	+0	+0	+0	+35	-1	+0	+0	+0	+0	+2	-1	+0	+1	-1	+0	+0	-1	+0
OG0000233	+7	-3	+0	+0	+0	+0	+11	-4	+0	+0	+3	-2	+0	+0	+0	+0	+0	-2	+0	-2	+0
OG0000234	-1	+1	+0	+0	+4	+0	+0	+0	+2	+0	+0	+0	-1	+6	-1	+0	+1	-1	+0	+0	+0
OG0000235	-1	+0	-2	+7	-1	+0	+0	+0	+0	+1	+0	+0	+2	+0	-1	+2	+0	+0	+0	-2	+0
OG0000237	+8	-2	-5	+2	+0	+1	+1	+0	+0	+0	-2	+0	+0	+1	-1	+2	-1	+0	+0	+0	+0
OG0000240	-3	+1	-7	+4	+1	+0	+7	+0	+0	-2	+0	+0	+1	+0	-1	+3	+0	-2	+0	-1	+0
OG0000241	+0	+0	+0	+1	-3	+0	+1	+0	+0	+0	+0	+0	+0	+0	-1	+0	-3	+2	+0	-1	+0
OG0000242	+0	+0	+1	-3	+1	+0	+8	-1	+0	-3	+0	+0	+2	-1	-1	+0	-4	+6	+0	+0	+0
OG0000243	+1	+0	+0	+0	-1	+1	+7	-1	+0	-1	+0	+0	+1	+0	+1	+0	+0	-3	+0	-1	+0
OG0000244	+1	+0	-1	+0	+1	+0	+2	-3	+1	-1	+1	+0	+0	+0	+0	+0	+0	+0	+1	-4	+0
OG0000245	-1	+0	-4	+2	+3	-1	+2	+0	+0	-2	+0	-1	+0	-2	+0	+0	-4	+3	+0	+0	+0
OG0000246	+0	-1	-1	+0	+4	+0	+2	-3	+0	+0	+0	+0	+0	+5	+0	+1	-1	+0	+0	-2	+0
OG0000248	-1	+0	+0	+0	+14	-1	+0	+0	+0	+0	+0	+0	-1	+7	-1	+0	-1	+0	+0	+0	+0
OG0000251	+0	+0	+0	-1	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+5	-3	+0	+1	+0
OG0000252	+0	+0	+0	-2	+1	-1	+6	-1	+0	-1	-1	+0	+1	-1	+0	+0	-2	+7	-1	+1	+0
OG0000253	+0	+0	+1	+0	-2	+2	-4	+0	+0	-2	+0	+0	+0	+0	+0	-1	+2	+0	+0	+0	+0
OG0000254	-1	+0	-4	+5	+1	-1	+4	+0	+0	-2	+0	+0	+3	-1	+0	+0	-4	+0	+0	+0	+0
OG0000255	+0	+0	+0	+2	+1	+0	-4	+4	+0	-1	+0	+0	+0	-1	+1	+0	-4	+1	+0	+0	+0
OG0000257	+0	+0	+2	+0	+0	+0	-1	+3	+0	+0	-1	+0	+0	-2	-1	+0	+40	-5	-1	+2	+0
OG0000258	+0	+0	+0	+0	+3	+0	+1	+0	+0	-2	+0	+0	+0	-1	+0	+0	-5	+4	+0	+0	+0
OG0000259	-1	+0	+0	+1	+1	+0	-2	+0	+1	+0	+0	+0	-1	+4	+0	+0	+0	+0	+1	-2	+0
OG0000261	-1	+0	+1	-1	+6	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0	+1	-3	+0	+0	+0	+0
OG0000265	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+4	+9	+0	+0	+20	-3	+0	-1	+1	-1	+0
OG0000266	+0	+0	+0	+0	+3	+0	+1	-1	+1	+0	+0	-1	+0	+1	-1	+1	+0	-1	+0	+0	+0
OG0000267	+0	-2	+0	+0	+1	+0	+0	-1	+0	-1	+0	-1	+0	+0	+0	+0	-4	+4	+0	+0	+0
OG0000270	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	-1	-1	+0	+50	-6	-2	+3	+0
OG0000271	+0	+0	-3	+7	+0	+0	+1	+0	+0	+0	+0	+0	+2	-1	-1	+0	+7	-1	-1	+0	+0
OG0000272	+0	-1	+0	+2	+1	+0	-2	+0	+1	+0	+0	+0	+0	+4	+0	+1	-1	+0	+0	-1	+0
OG0000273	+1	-1	-1	+0	+0	+0	-2	+0	+0	+2	+0	+0	+0	+2	+0	+0	+0	+0	+0	-2	+0
OG0000274	+0	-1	-3	+2	+0	+0	+3	+0	+0	+0	-1	+0	+1	+0	+0	+1	-4	+1	+0	+0	+0
OG0000275	+0	+0	+1	+0	+1	+0	-3	+2	+0	+1	+0	+0	+0	+0	+0	+0	-1	-1	+0	-1	+0
OG0000276	+1	-3	+0	-1	+5	+0	+1	-1	+1	-3	+0	+0	+0	+0	+0	+0	+19	-4	-1	+1	+0
