FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000205	3	5	5	6	5	5	8	6	5	2	7	7	6	5	7	6	1	6	6	5	6
OG0000207	5	5	1	6	5	5	6	6	5	5	8	9	6	5	8	6	0	9	6	6	6
OG0000208	10	9	5	7	9	9	3	5	9	6	2	3	5	7	3	5	1	1	3	1	3
OG0000209	5	4	6	5	5	5	3	5	5	6	5	5	5	5	5	5	7	7	5	7	6
OG0000210	5	7	5	2	6	6	8	5	6	5	2	4	6	6	4	6	3	6	5	5	5
OG0000211	4	5	5	14	4	5	8	7	5	6	2	2	7	5	2	5	1	1	3	1	3
OG0000212	5	5	4	5	5	5	10	5	5	5	3	3	5	5	3	5	3	2	4	3	4
OG0000213	4	6	4	5	8	6	0	4	6	6	6	5	4	6	5	5	1	10	5	5	5
OG0000214	2	5	4	4	6	5	5	4	5	3	7	7	5	5	7	5	3	5	5	5	5
OG0000217	6	7	5	3	5	6	4	4	5	4	4	4	4	5	4	4	2	5	4	4	4
OG0000219	3	4	6	7	3	3	8	6	3	1	6	5	6	3	5	5	2	6	5	5	5
OG0000220	4	6	3	7	5	5	5	5	5	8	5	5	5	5	5	5	1	4	5	4	5
OG0000223	4	1	1	4	1	2	4	3	2	1	3	3	3	2	3	3	28	0	3	5	4
OG0000224	15	4	0	7	6	6	6	6	6	6	0	2	6	6	2	6	3	3	3	3	3
OG0000225	5	7	6	7	9	6	7	6	6	4	3	3	6	5	3	5	0	1	3	1	3
OG0000226	7	9	4	7	6	7	7	7	7	7	5	4	7	7	5	7	1	1	5	1	4
OG0000227	5	5	1	9	15	5	5	5	6	5	1	6	5	6	4	5	1	0	4	1	3
OG0000228	1	2	2	3	4	2	29	3	2	1	2	2	4	2	2	2	2	0	2	2	2
OG0000230	1	2	1	7	6	2	8	5	3	1	5	4	5	3	5	5	1	8	5	5	5
OG0000231	6	7	4	3	7	6	7	4	6	6	4	4	5	6	4	5	3	3	4	3	4
OG0000233	4	12	2	4	10	8	4	4	8	7	1	1	4	7	1	4	0	2	2	2	2
OG0000234	8	12	1	1	14	10	1	1	10	8	1	1	1	8	1	2	3	1	2	2	2
OG0000237	0	0	1	0	0	0	8	1	0	0	1	3	2	0	2	2	0	37	2	4	3
OG0000238	1	4	8	7	3	3	7	7	3	2	3	3	7	3	3	5	5	8	5	5	5
OG0000240	8	7	2	3	8	7	8	3	7	5	7	6	6	6	6	6	1	1	6	1	5
OG0000241	4	4	4	4	4	4	3	4	4	4	5	5	4	4	5	4	11	3	5	6	5
OG0000243	3	3	6	2	4	3	14	5	3	0	3	3	5	3	3	4	0	10	4	4	4
OG0000247	2	10	3	7	10	7	4	4	7	5	1	2	4	6	2	4	1	1	2	1	2
OG0000248	1	3	3	12	4	3	11	7	3	1	4	3	7	3	4	4	0	4	4	4	4
OG0000250	9	3	3	5	7	7	3	4	7	8	4	3	4	7	3	4	2	2	3	2	3
OG0000252	3	7	0	11	7	6	14	7	6	4	2	2	7	6	2	6	2	0	3	2	3
OG0000253	6	4	3	6	3	5	6	5	5	6	4	4	5	5	4	5	1	3	4	3	4
OG0000255	3	3	8	7	4	3	7	7	3	2	3	4	7	3	4	4	1	10	4	4	4
OG0000257	6	6	8	7	6	6	2	7	6	6	5	5	6	6	5	6	3	3	5	3	5
OG0000259	4	4	5	5	7	4	6	5	4	2	5	5	5	4	5	5	0	9	5	5	5
OG0000260	8	7	1	3	6	7	2	2	7	19	1	1	2	7	1	2	1	2	2	2	2
OG0000261	7	7	2	4	7	7	5	4	7	5	6	8	5	6	6	5	0	3	5	3	5
OG0000263	6	6	3	3	9	6	5	3	6	5	2	1	4	5	2	4	3	2	3	3	3
OG0000264	1	2	7	14	2	2	28	11	2	1	0	0	11	2	0	3	0	1	1	1	1
OG0000266	7	8	3	4	10	8	1	3	8	8	4	4	3	8	4	4	1	2	4	2	4
OG0000270	2	4	5	3	10	4	4	4	4	2	2	3	4	4	3	4	0	3	3	3	3
OG0000272	3	5	5	7	6	4	3	5	4	4	4	3	4	4	4	4	3	5	4	4	4
OG0000275	5	4	6	6	4	4	9	6	4	2	3	4	6	4	4	5	3	3	4	3	4
