#FamilyID	pvalue	Significant at 0.05
OG0001237	0.965	n
OG0001238	0.61	n
OG0001239	0.594	n
OG0001240	0.593	n
OG0001242	0.61	n
OG0001243	0.862	n
OG0001244	0.377	n
OG0001245	0.06	n
OG0001246	0.55	n
OG0001247	0.982	n
OG0001248	0.981	n
OG0001249	0.055	n
OG0001250	0.776	n
OG0001251	0.79	n
OG0001252	0.222	n
OG0001253	0.469	n
OG0001254	0.894	n
OG0001255	0.915	n
OG0001256	0.255	n
OG0001257	0.033	y
OG0001258	0.095	n
OG0001259	0.909	n
OG0001260	0.733	n
OG0001261	0.982	n
OG0001262	0.721	n
OG0001263	0.309	n
OG0001264	0.048	y
OG0001265	0.967	n
OG0001266	0.833	n
OG0001267	0.855	n
OG0001268	0.077	n
OG0001269	0.958	n
OG0001270	0.593	n
OG0001271	0.771	n
OG0001272	0.122	n
OG0001273	0.871	n
OG0001274	0.13	n
OG0001275	0.958	n
OG0001276	0.281	n
OG0001277	0.723	n
OG0001278	0.849	n
OG0001279	0.564	n
OG0001280	0.322	n
OG0001281	0.29	n
OG0001282	0.961	n
OG0001283	0.93	n
OG0001284	0.093	n
OG0001286	0.421	n
OG0001287	0.068	n
OG0001288	0.473	n
OG0001289	0.424	n
OG0001291	0.006	y
OG0001292	0.219	n
OG0001294	0.191	n
OG0001298	0.244	n
OG0001302	0.013	y
OG0001311	0	y
OG0001319	0.813	n
OG0001321	0.977	n
OG0001322	0.468	n
OG0001323	0.557	n
OG0001324	0.74	n
OG0001325	0.849	n
OG0001326	0.569	n
OG0001328	0.854	n
OG0001329	0.342	n
OG0001330	0.867	n
OG0001332	0.055	n
OG0001333	0.958	n
OG0001334	0.655	n
OG0001335	0.879	n
OG0001336	0.977	n
OG0001337	0.772	n
OG0001338	0.076	n
OG0001339	0.704	n
OG0001340	0.358	n
OG0001341	0.161	n
OG0001343	0.852	n
OG0001344	0.876	n
OG0001345	0.792	n
OG0001346	0.365	n
OG0001347	0.947	n
OG0001348	0.463	n
OG0001349	0.977	n
OG0001350	0.002	y
OG0001351	0.482	n
OG0001352	0.051	n
OG0001353	0.014	y
OG0001354	0.588	n
OG0001355	0.958	n
OG0001356	0.004	y
OG0001357	0.051	n
OG0001358	0.905	n
OG0001359	0.29	n
OG0001360	0.739	n
OG0001361	0.74	n
OG0001362	0.282	n
OG0001363	0.1	n
OG0001364	0.935	n
OG0001365	0.399	n
OG0001366	0.029	y
OG0001367	0.04	y
OG0001368	0.714	n
OG0001369	0.352	n
OG0001372	0.775	n
OG0001373	0.835	n
OG0001374	0.985	n
OG0001377	0.925	n
OG0001378	0.915	n
OG0001379	0.752	n
OG0001380	0.683	n
OG0001381	0.181	n
OG0001382	0.004	y
OG0001383	0.689	n
OG0001384	0.763	n
OG0001385	0.035	y
OG0001386	0.469	n
OG0001387	0.925	n
OG0001388	0.412	n
OG0001389	0.008	y
OG0001390	0.129	n
OG0001391	0.069	n
OG0001392	0.111	n
OG0001393	0.242	n
OG0001394	0.977	n
OG0001395	0.291	n
OG0001396	0.077	n
OG0001397	0.741	n
OG0001398	0.613	n
OG0001399	0.378	n
OG0001400	0.79	n
OG0001401	0.133	n
OG0001402	0.207	n
OG0001403	0.857	n
OG0001404	0.439	n
OG0001405	0.719	n
OG0001406	0.22	n
OG0001407	0.612	n
OG0001408	0.446	n
OG0001409	0.551	n
OG0001410	0.115	n
OG0001411	0.479	n
OG0001412	0.204	n
OG0001413	0.469	n
OG0001414	0.422	n
OG0001415	0.047	y
OG0001416	0.003	y
OG0001417	0.074	n
OG0001418	0.004	y
OG0001420	0.004	y
OG0001421	0.001	y
OG0001424	0.295	n
OG0001425	0.003	y
OG0001426	0.02	y
OG0001428	0	y
OG0001429	0.07	n
OG0001430	0.027	y
OG0001433	0	y
OG0001441	0.466	n
OG0001442	0.749	n
OG0001443	0.462	n
OG0001445	0.279	n
OG0001446	0.935	n
OG0001447	0.788	n
OG0001448	0.958	n
OG0001449	0.871	n
OG0001450	0.788	n
OG0001451	0.901	n
OG0001452	0.005	y
OG0001453	0.967	n
OG0001454	0.677	n
OG0001455	0.266	n
OG0001456	0.556	n
OG0001457	0.01	y
OG0001458	0.926	n
OG0001460	0.158	n
OG0001461	0.093	n
OG0001463	0.005	y
OG0001466	0.742	n
OG0001467	0.19	n
OG0001468	0.735	n
OG0001470	0.548	n
OG0001471	0.879	n
OG0001472	0.614	n
OG0001473	0.947	n
OG0001474	0.947	n
OG0001475	0.613	n
OG0001476	0.143	n
OG0001477	0.132	n
OG0001479	0.797	n
OG0001480	0.349	n
OG0001481	0.381	n
OG0001482	0.187	n
OG0001483	0.563	n
OG0001484	0.879	n
OG0001485	0.689	n
OG0001486	0.204	n
OG0001487	0.947	n
OG0001488	0.735	n
OG0001489	0.03	y
OG0001490	0.722	n
OG0001491	0.6	n
OG0001492	0.656	n
OG0001493	0.404	n
OG0001495	0	y
OG0001496	0.741	n
OG0001497	0.74	n
OG0001498	0.107	n
OG0001499	0.835	n
OG0001500	0.947	n
OG0001501	0.835	n
OG0001502	0.842	n
OG0001503	0.621	n
OG0001504	0.719	n
OG0001505	0.177	n
OG0001506	0.857	n
OG0001507	0.613	n
OG0001508	0.716	n
OG0001509	0.874	n
OG0001510	0.947	n
OG0001511	0.122	n
OG0001512	0.672	n
OG0001513	0.631	n
OG0001514	0.841	n
OG0001515	0.87	n
OG0001516	0.778	n
OG0001517	0.5	n
OG0001518	0.885	n
OG0001519	0.176	n
OG0001520	0.813	n
OG0001521	0.22	n
OG0001522	0.167	n
OG0001523	0.059	n
OG0001524	0.139	n
OG0001525	0.727	n
OG0001526	0.606	n
OG0001527	0.042	y
OG0001528	0.031	y
OG0001529	0.474	n
OG0001535	0.007	y
OG0001537	0.069	n
OG0001540	0	y
OG0001543	0.02	y
OG0001544	0.006	y
OG0001549	0	y
OG0001556	0.017	y
OG0001557	0.685	n
OG0001558	0.433	n
OG0001559	0.286	n
OG0001560	0.062	n
OG0001562	0.644	n
OG0001563	0.365	n
OG0001564	0.339	n
OG0001565	0.479	n
OG0001566	0.716	n
OG0001569	0.029	y
OG0001571	0.473	n
OG0001572	0.347	n
OG0001575	0.895	n
OG0001576	0.206	n
OG0001577	0.851	n
OG0001578	0.505	n
OG0001579	0.025	y
OG0001580	0.965	n
OG0001581	0.574	n
OG0001582	0.093	n
OG0001584	0.511	n
OG0001585	0.838	n
OG0001587	0.451	n
OG0001588	0.119	n
OG0001589	0.466	n
