#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000291	0.0381341	9.75758e-99	5.73542e-34	1.70128e-65	N/S
OG0000291	1.96187	5.73542e-34	5.73542e-34	1	*
OG0000293	0.0381341	3.66614e-88	2.17751e-33	1.68363e-55	N/S
OG0000293	1.96187	2.17751e-33	2.17751e-33	1	*
OG0000294	0.0381341	2.30705e-51	1.57713e-21	1.46282e-30	N/S
OG0000294	1.96187	1.57713e-21	1.57713e-21	1	*
OG0000295	0.0381341	1.76055e-35	4.26066e-15	4.13211e-21	N/S
OG0000295	1.96187	4.26066e-15	4.26066e-15	1	*
OG0000296	0.0381341	3.48376e-26	8.83141e-13	3.94473e-14	N/S
OG0000296	1.96187	8.83141e-13	8.83141e-13	1	*
OG0000297	0.0381341	2.54421e-23	1.61469e-12	1.57567e-11	N/S
OG0000297	1.96187	1.61469e-12	1.61469e-12	1	*
OG0000298	0.0381341	4.11547e-27	5.19028e-14	7.92918e-14	N/S
OG0000298	1.96187	5.19028e-14	5.19028e-14	1	*
OG0000299	0.0381341	2.63588e-22	8.08323e-12	3.26092e-11	N/S
