Desc	Family	JU1373	NIC58	PX356	PX439	PX506	CLATE	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000385	2	3	4	4	3	4	2	0	0	3	11
null	OG0000386	3	4	3	3	3	5	3	11	0	1	4
null	OG0000387	1	1	1	0	2	0	5	15	3	3	4
null	OG0000388	1	1	0	12	7	1	1	1	1	7	3
null	OG0000389	0	1	6	6	10	1	3	0	0	4	0
null	OG0000390	0	0	15	5	1	8	0	0	0	1	4
null	OG0000391	0	0	1	0	19	11	0	0	0	0	2
null	OG0000392	0	0	9	4	7	6	2	0	0	2	1
null	OG0000393	0	0	2	9	8	10	0	0	0	0	8
null	OG0000394	0	0	11	8	12	3	0	0	0	0	1
null	OG0000395	0	0	0	0	0	0	8	0	0	24	15
null	OG0000396	2	3	4	4	4	4	4	4	2	3	5
null	OG0000397	3	3	6	4	4	6	3	5	1	2	3
null	OG0000398	1	1	0	0	0	0	2	0	0	42	0
null	OG0000399	9	8	3	4	3	3	0	1	0	1	8
null	OG0000400	2	2	5	4	4	4	3	2	4	3	5
null	OG0000401	6	5	7	4	4	1	0	0	0	6	3
null	OG0000402	3	4	4	3	5	3	3	3	1	3	5
null	OG0000403	4	4	4	3	4	3	4	2	0	2	4
null	OG0000404	2	2	2	2	2	0	2	1	4	1	16
null	OG0000405	3	3	5	5	5	5	4	3	5	2	1
null	OG0000406	4	4	4	4	4	4	3	4	1	4	1
null	OG0000407	4	4	4	4	4	4	4	4	1	4	2
null	OG0000408	2	2	4	4	5	5	3	1	2	5	5
null	OG0000409	8	5	2	3	3	2	1	2	0	2	11
null	OG0000410	1	0	5	5	5	4	0	2	16	0	1
null	OG0000411	0	0	9	5	4	4	0	0	0	3	14
null	OG0000412	0	0	0	1	0	0	6	0	0	40	0
null	OG0000413	0	0	0	0	0	0	4	0	0	40	3
null	OG0000414	0	0	0	0	0	0	0	0	0	47	0
null	OG0000415	3	1	2	2	2	2	3	4	15	4	5
null	OG0000416	1	0	1	1	2	1	10	1	0	7	12
null	OG0000417	4	3	2	4	3	1	4	8	0	2	7
null	OG0000418	3	3	3	1	4	3	3	2	4	3	4
null	OG0000419	2	3	5	4	6	3	4	4	1	2	1
null	OG0000420	1	1	3	2	4	3	3	11	6	3	2
null	OG0000421	3	2	8	6	9	3	1	0	0	1	1
null	OG0000422	4	4	3	4	0	5	6	3	0	6	5
null	OG0000423	0	0	10	10	1	7	0	3	0	0	3
null	OG0000424	0	0	6	6	12	3	0	0	0	0	8
null	OG0000425	0	0	14	1	14	6	0	0	0	0	0
null	OG0000426	2	1	5	3	7	2	2	4	0	2	5
null	OG0000427	2	2	7	5	4	3	3	3	1	3	3
null	OG0000428	2	2	1	2	2	2	3	14	1	4	4
null	OG0000429	1	0	0	0	0	0	1	0	37	1	2
null	OG0000430	3	3	3	3	3	4	3	4	1	4	3
null	OG0000431	1	1	2	2	3	2	5	1	0	9	8
null	OG0000432	1	1	5	5	5	5	4	3	0	3	5
null	OG0000433	3	3	8	5	6	7	0	1	1	1	3
null	OG0000434	5	4	3	3	3	4	4	2	0	5	4
null	OG0000435	3	3	4	3	3	3	3	5	2	3	4
null	OG0000436	4	4	4	3	4	3	3	3	3	4	0
null	OG0000437	1	1	3	3	4	3	2	5	1	3	5
null	OG0000438	1	2	4	4	11	3	2	2	3	1	3
null	OG0000439	0	1	1	2	3	9	2	1	0	4	9
null	OG0000440	0	0	9	8	11	8	0	0	0	0	0
null	OG0000441	0	0	0	0	0	0	0	0	45	0	0
null	OG0000442	0	0	0	0	0	0	0	0	0	0	45
null	OG0000443	2	3	6	7	6	1	2	0	0	3	1
null	OG0000444	5	4	1	1	2	4	2	12	3	2	2
null	OG0000445	5	7	0	0	1	1	2	2	0	6	8
null	OG0000446	5	5	2	0	2	0	6	6	1	1	5
null	OG0000447	3	3	3	2	3	3	8	7	1	2	3
null	OG0000448	4	4	0	0	2	0	6	4	4	4	9
null	OG0000449	7	9	0	0	0	0	0	0	6	2	2
null	OG0000450	2	2	1	1	1	0	2	25	0	1	0
