Desc	Family	PX356	PX439	CLATE	JU1373	NIC58	PX506	CBREN	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000288	3	1	2	3	2	4	3	3	2	18	3	9
null	OG0000289	1	12	5	7	2	5	4	0	0	0	0	12
null	OG0000290	1	11	8	0	0	19	1	0	0	0	0	1
null	OG0000291	2	2	3	0	0	2	0	2	22	1	1	18
null	OG0000292	8	10	10	0	0	9	3	1	0	0	1	2
null	OG0000293	1	5	0	3	3	9	2	2	1	23	1	4
null	OG0000294	0	0	0	0	0	0	0	0	1	7	9	4
null	OG0000295	2	2	3	5	6	3	3	6	4	1	5	12
null	OG0000296	3	4	4	1	3	4	9	5	1	2	7	8
null	OG0000297	3	3	3	5	5	4	4	8	5	1	6	6
null	OG0000298	5	7	6	2	2	5	8	2	2	0	5	5
null	OG0000299	3	3	2	3	3	3	2	8	5	2	8	5
null	OG0000300	4	0	5	3	3	4	7	4	4	1	5	6
null	OG0000301	1	1	2	6	5	3	9	7	0	0	6	15
null	OG0000302	3	3	3	5	5	3	26	1	0	1	1	2
null	OG0000303	0	6	0	4	4	3	8	2	2	4	3	10
null	OG0000304	0	0	0	0	0	0	0	0	1	55	0	0
null	OG0000306	0	0	0	0	0	0	0	0	0	0	8	48
null	OG0000307	6	6	6	4	4	4	3	4	1	1	5	3
null	OG0000308	4	3	2	2	4	6	1	3	13	4	0	5
null	OG0000309	6	6	5	1	1	7	2	5	0	0	5	6
null	OG0000310	4	4	4	3	4	4	6	4	5	2	4	4
null	OG0000311	10	0	9	0	0	14	1	2	0	0	2	6
null	OG0000312	5	5	5	5	4	5	1	5	0	1	6	7
null	OG0000313	1	3	1	1	3	1	4	0	0	28	3	3
null	OG0000314	6	5	2	3	2	6	6	3	1	0	3	10
null	OG0000315	5	6	5	8	6	6	2	2	3	0	2	3
null	OG0000316	3	3	3	1	1	3	6	3	1	0	3	23
null	OG0000317	3	5	7	1	1	7	6	4	0	0	13	4
null	OG0000318	9	12	5	0	0	11	4	0	0	0	0	3
null	OG0000319	0	7	1	10	5	0	7	0	0	0	1	6
null	OG0000321	2	0	1	5	6	5	8	6	6	1	2	5
null	OG0000322	2	2	5	2	2	4	3	7	3	1	6	11
null	OG0000323	4	2	3	3	4	5	4	3	5	1	3	8
null	OG0000324	4	4	2	0	0	4	6	0	3	0	3	22
null	OG0000325	7	6	2	1	1	4	9	2	0	0	7	7
null	OG0000326	6	9	3	1	1	5	2	2	0	1	4	10
null	OG0000327	7	6	13	0	0	1	9	0	2	0	5	5
null	OG0000328	4	4	4	2	2	4	6	2	1	17	2	1
null	OG0000329	5	4	2	2	3	5	3	4	6	1	6	4
null	OG0000330	1	0	1	13	12	1	2	4	5	0	8	5
null	OG0000331	2	2	1	1	1	2	3	9	4	1	10	14
null	OG0000332	4	3	3	3	4	5	5	4	9	1	2	4
null	OG0000333	0	1	0	0	0	0	0	6	0	0	45	1
null	OG0000334	3	1	3	4	5	1	4	3	8	0	7	10
null	OG0000335	5	5	5	4	4	5	2	3	1	1	3	8
null	OG0000336	5	9	3	3	3	11	3	0	3	1	1	1
